PaperId,Titulo,Autores,Ano,Data_Publicacao,Veiculo,DOI,ArXiv_ID,Resumo,URL
0006030008dc317ef545c68b0c91abd8ada2aecd,GazeVaLM: A Multi-Observer Eye-Tracking Benchmark for Evaluating Clinical Realism in AI-Generated X-Rays,David C Wong; Zeynep Isik; Bin Wang; Marouane Tliba; Gorkem Durak; Elif Keles; H. Aktas; Aladine Chetouani; Cagdas Topel; Nicolò Gennaro; C. Vendrami; Tugce Agirlar Trabzonlu; A. Rahsepar; L. Perronne; M. Antalek; Onural Ozturk; G. Okur; Andrew C. Gordon; A. Pyrros; Frank Miller; Amir A Borhani; Hatice Savas; Eric Hart; Elizabeth A Krupinski; Ulas Bagci,2026,2026-04-13,Eye Tracking Research & Application,10.1145/3797246.3806796,2604.11653,"We introduce GazeVaLM, a public eye-tracking dataset for studying clinical perception during chest radiograph authenticity assessment. The dataset comprises 960 gaze recordings from 16 expert radiologists interpreting 30 real and 30 synthetic chest X-rays (generated by diffusion based generative AI) under two conditions: diagnostic assessment and real-fake classification (Visual Turing test). For each image–observer pair, we provide raw gaze samples, fixation maps, scanpaths, saliency density maps, structured diagnostic labels, and authenticity judgments. We extend the protocol to 6 state-of-the-art multimodal LLMs, releasing their predicted diagnoses, authenticity labels, and confidence scores under matched conditions — enabling direct human–AI comparison at both decision and uncertainty levels. We further provide analyses of gaze agreement, inter-observer consistency, and benchmarking of radiologists versus LLMs in diagnostic accuracy and authenticity detection. GazeVaLM supports research in gaze modeling, clinical decision-making, human–AI comparison, generative image realism assessment, and uncertainty quantification. By jointly releasing visual attention data, clinical labels, and model predictions, we aim to facilitate reproducible research on how experts and AI systems perceive, interpret, and evaluate medical images. The dataset is available at https://huggingface.co/datasets/davidcwong/GazeVaLM.",https://www.semanticscholar.org/paper/0006030008dc317ef545c68b0c91abd8ada2aecd
008edc9af690a8b8e1ef71351a344c40512a15c9,A Novel CAD Framework with Visual and Textual Interpretability: Multimodal Insights for Predicting Respiratory Diseases,Raza Mukhlis; Saied Saleem; Hyunwook Kwon; Jamil Hussain; Ahmet Arif Aydin; M. A. Al-antari,2024,2024-09-21,2024 8th International Artificial Intelligence and Data Processing Symposium (IDAP),10.1109/IDAP64064.2024.10710824,,"Generating textual interpretability using recent advancements in large language models (LLMs) is crucial for enhancing the efficiency of comprehensive computer-aided diagnosis (CAD) systems. This improves transparency between medical staff, intelligent CAD systems, and end-users by creating a trustworthy and effective intermediate medical diagnosis environment. In this paper, an innovative explainable throughout CAD system is introduced, designed to predict diseases from Chest X-rays (CXR) in a comprehensive scenario. The primary goal is to undertake multiple tasks that reduce the burden on medical staff and enrich CAD outcomes, including classification, visual explanations (heatmaps), and textual report generation. The proposed CAD system is developed through eight key steps: Data Collection and Annotation, Data Preparation, Text Vectorizations (Indexing), Visual Encoder, RAG-Fusion, Structural Prompt, XAI LLmTextual Reasoning (LLM Model), and Final Output (LLM textual report, image classification, and heatmap localization). The AI-based CAD system is trained and evaluated using the public benchmark MIMIC-CXR dataset with 14 different classes. The classification performance achieved an overall accuracy of $70 \%$, precision of $70 \%$, and F1-score of $0.60 \%$, while for text report generation, the system obtained an average BERTScore precision of 0.83, RougeL 0.16, and a Meteor score of 0.28. These promising results suggest the potential for further improvement of the CAD system and its applicability to real-world medical tasks.",https://www.semanticscholar.org/paper/008edc9af690a8b8e1ef71351a344c40512a15c9
081b0ecfa5ecaf44f35a43fde9fe36672beae916,Abstract 4362776: Multimodal and Serial Electrocardiogram and Chest X-ray Age Have Prognostic Significance as Biomarkers for Cardiovascular Health,V. Sangha; Xiao Gu; R. Khera; D. Clifton,2025,2025-11-04,Circulation,10.1161/circ.152.suppl_3.4362776,,"
 Background:
 Estimating biological age from diagnostic tests such as electrocardiograms (ECGs) and chest X-rays (CXRs) via artificial intelligence (AI) is an emerging strategy for cardiovascular (CVD) risk stratification. We investigated whether AI-predicted age from ECG and CXR images can serve as multimodal and dynamic biomarkers of CVD risk.
 
 
 Methods:
 EfficientNet-B3 convolutional neural networks were trained to predict chronological age from 12-lead ECG and frontal CXR images using data from Yale and the CheXpert dataset, respectively. Models were validated externally using the MIMIC-IV cohort. The difference between predicted and actual age (delta-age) was assessed for its association with major adverse CVD events (MACE) and mortality in a cohort of patients with both ECGs and CXR using age- and sex-adjusted multivariable Cox models. Additional analyses evaluated the prognostic significance of
 rate of biological aging, defined as the slope from a linear regression of AI-predicted age versus time
 in patients with multiple recordings.
 
 
 Results:
 On internal validation, the AI-ECG and AI-CXR models achieved mean absolute errors of 7.5 and 5.4 years, respectively. In MIMIC-IV, analysis of 16,294 patients with both ECG and CXR confirmed that these biomarkers provided additive prognostic information. Patients with high delta-age ECGs (delta > 5.5 years, top quartile) had higher risk of mortality (HR: 1.17) and higher risk of MACE (HR: 1.32), while a high delta-age CXR (delta > 4.8 years, top quartile) also portended higher mortality (HR 1.53) and MACE risk (HR 1.36). Patients with high delta-ages in both modalities had the highest hazard in cumulative hazard plots. In longitudinal analyses, in a cohort of 49,702 with multiple ECGs, both accelerated (top quartile) and decelerated (bottom quartile) rates of AI-predicted aging had higher risk of mortality (HR 4.16 and 4.08 respectively) and MACE (HR 3.07 and 2.65 respectively) even after accounting for delta-age from the initial recording. A cohort of 14,748 patients with multiple CXRs saw similar patterns for accelerated and decelerated agers (HR 3.48 and 2.66 respectively for mortality, and HR 2.13 and 1.75 respectively for MACE).
 
 
 Conclusion:
 AI-derived age from ECG and CXR images are robust biomarkers of CVD risk. These biomarkers offer additive and dynamic prognostic value when used in combination or over time, supporting a shift toward personalized, multimodal, and temporally adaptive risk assessment.
",https://www.semanticscholar.org/paper/081b0ecfa5ecaf44f35a43fde9fe36672beae916
0d37317eb410aaa14858a3c979abc7e7a229dc31,K-MIMIC: a nationwide Korean multi-institutional Multimodal intensive care dataset.,Young-Gon Kim; Jongho Shin; Sul Mui Won; Sang-Min Lee; Ho-Geol Ryu; Geonhee Lee; Wookyung Kim; Dai-Jin Kim; Taehoon Ko; Tong Min Kim; I. Song; Sue-Young Jung; Jun Wan Lee; Jeong-Ho Hong; Jong-Yeup Kim; D. Moon; Won-Yeon Lee; Woo Hyun Cho; Yoon Mi Shin; Soomin Jo; Byoung Jun Lee; M. Yoon; Borim Ryu; Jin-Heon Jeong; Seung Yong Park; Soung-ai Choi; Taeyun Kim; Hyung-Chul Lee; E. Chie,2026,2026-02-03,Korean Journal of Anesthesiology,10.4097/kja.25752,,"Background
Recent advancements in critical care have highlighted the need for comprehensive, multimodal datasets to support clinical decision-making and advancing artificial intelligence (AI) research. However, such datasets are scarce in Asia. We developed the Korean Multi-Institutional Multimodal Intensive Care (K-MIMIC) dataset by integrating structured electronic medical records (EMRs), high-resolution bio-signals, and medical imaging from multiple hospitals in Korea.


Methods
This retrospective multicenter study collected intensive care unit (ICU) data from 278,274 patients admitted to 71 ICUs across 10 hospitals between 2001 and 2023. The data modalities included structured EMRs, physiological waveforms, and imaging studies. Data extraction followed standardized protocols and de-identification procedures in compliance with the Korean Health Data Utilization Guidelines. Multimodal linkage was achieved at the patient level to enable temporal trajectory analysis.


Results
The K-MIMIC dataset contains 287,274 ICU admissions from 241,805 unique patients, including 22,588 bio-signal files and 496,999 imaging studies, primarily chest X-rays aligned with EMRs. Nearly 47% of ICU admissions originated in the emergency department (ED). Elderly patients (65-90 years old) constituted the largest age group. Fifteen thousand, five hundred forty-eight patients had EMR data linked with both bio-signals and imaging, enabling full multimodal analyses.


Conclusions
The K-MIMIC is the first large-scale, multicenter, multimodal ICU dataset in Asia to provide a robust resource for critical care research, including AI-based prediction, monitoring, and longitudinal outcome studies. The dataset demonstrates the feasibility of secure and standardized ICU data integration across diverse institutions.",https://www.semanticscholar.org/paper/0d37317eb410aaa14858a3c979abc7e7a229dc31
0d381adefc7a7a6aa7836a5fc92cbaf2f1659da6,Efficient clinical decision-making process via AI-based multimodal data fusion: A COVID-19 case study,D. I. Morís; J. de Moura; Pedro J. Marcos; Enrique Míguez Rey; J. Novo; M. Ortega,2024,2024-10-01,Heliyon,10.1016/j.heliyon.2024.e38642,,"COVID-19 is an infectious disease that caused a global pandemic in 2020. In the critical moments of this healthcare emergencies, the medical staff needs to take important decisions in a context of limited resources that must be carefully managed. To this end, the computer-aided diagnosis methods are extremely powerful and help them to better recognize the evidences of high-risk patients. This can be done with the support of relevant information extracted from electronic health records, lab tests and imaging studies. In this work, we present a novel fully-automatic efficient method to help the clinical decision-making process in the context of COVID-19 risk estimation, using multimodal data fusion of clinical features and deep features extracted from chest X-ray images. The risk estimation is studied in two of the most relevant and critical encountered scenarios: the risk of hospitalization and mortality. This study shows which are the most important features for each scenario, the ratio of clinical and imaging features present in the top ranking and the performance of the used machine learning models. The results demonstrate a great performance by the classifiers, estimating the risk of hospitalization with an AUC-ROC of 0.8452 ± 0.0133 and the risk of death with an AUC-ROC of 0.8285 ± 0.0210, only using a subset of the original features, and highlight the significant contribution of imaging features to hospitalization risk assessment, while clinical features become more crucial for mortality risk evaluation. Furthermore, multimodal data fusion can outperform the approaches that use one data source. Despite the model's complexity, it requires fewer features, an advantage in scenarios with limited computational resources. This streamlined, fully-automated method shows promising potential to improve the clinical decision-making process and better manage medical resources, not only in the context of COVID-19, but also in other clinical scenarios.",https://www.semanticscholar.org/paper/0d381adefc7a7a6aa7836a5fc92cbaf2f1659da6
0dcb5bd508ccf4ba192274b2a020e1b6eae14918,RadZero: Similarity-Based Cross-Attention for Explainable Vision-Language Alignment in Radiology with Zero-Shot Multi-Task Capability,Jonggwon Park; Soobum Kim; Byungmu Yoon; Kyoyun Choi,2025,2025-04-10,Advances in Neural Information Processing Systems 38,10.48550/arXiv.2504.07416,2504.07416,"Recent advancements in multimodal models have significantly improved vision-language (VL) alignment in radiology. However, existing approaches struggle to effectively utilize complex radiology reports for learning and offer limited interpretability through attention probability visualizations. To address these challenges, we introduce $\textbf{RadZero}$, a novel framework for VL alignment in chest X-ray with zero-shot multi-task capability. A key component of our approach is $\textbf{VL-CABS}$ ($\textbf{V}$ision-$\textbf{L}$anguage $\textbf{C}$ross-$\textbf{A}$ttention $\textbf{B}$ased on $\textbf{S}$imilarity), which aligns text embeddings with local image features for interpretable, fine-grained VL reasoning. RadZero leverages large language models to extract concise semantic sentences from radiology reports and employs multi-positive contrastive training to effectively capture relationships between images and multiple relevant textual descriptions. It uses a pre-trained vision encoder with additional trainable Transformer layers, allowing efficient high-resolution image processing. By computing similarity between text embeddings and local image patch features, VL-CABS enables zero-shot inference with similarity probability for classification, and pixel-level VL similarity maps for grounding and segmentation. Experimental results on public chest radiograph benchmarks show that RadZero outperforms state-of-the-art methods in zero-shot classification, grounding, and segmentation. Furthermore, VL similarity map analysis highlights the potential of VL-CABS for improving explainability in VL alignment. Additionally, qualitative evaluation demonstrates RadZero's capability for open-vocabulary semantic segmentation, further validating its effectiveness in medical imaging. Code is available at $\href{https://github.com/deepnoid-ai/RadZero}{https://github.com/deepnoid-ai/RadZero}$.",https://www.semanticscholar.org/paper/0dcb5bd508ccf4ba192274b2a020e1b6eae14918
0f8fcb13cf90acc4b42438dd31b951537bfbfcf1,X-Plain: Vision-Language Knowledge Distillation for Interpretable Chest X-Ray Diagnosis,S. Sadhya; Xiaojun Qi,2026,2026-04-08,IEEE International Symposium on Biomedical Imaging,10.1109/ISBI61048.2026.11515681,,"We introduce X-PLAIN, a vision-language distillation framework for interpretable chest X-ray diagnosis. A frozen BLIP-2 teacher provides rich multimodal embeddings and textual explanations, while a compact EfficientNet-B3 student learns to replicate these representations and perform multilabel disease classification. A fine-tuned GPT-2 decoder generates natural-language explanations from the student's distilled embeddings, validating semantic fidelity. Trained on a balanced 100k-pair subset of MIMIC-CXR, the student is optimized using a multi-task objective that combines classification, visual, and textual distillation losses. Evaluations on MIMIC-CXR and zero-shot transfer to OpenI show strong diagnostic accuracy and robust semantic alignment, despite the known limitations of n -gram metrics on short radiology impressions. X-PLAIN achieves an $800 \times$ parameter reduction compared to BLIP-2 with minimal accuracy loss, offering a scalable and interpretable pathway toward clinically deployable medical AI.",https://www.semanticscholar.org/paper/0f8fcb13cf90acc4b42438dd31b951537bfbfcf1
0f9e3a41a00a81b9f1427e79f2c6bf0e15a73dc8,"Deep Learning Approaches for Multiclass Chest X-Ray Classification: COVID-19, Viral Pneumonia, and Healthy Lungs",Nilesh Goriya; A. Upadhyaya,2026,2026-06-01,International Journal of Drug Delivery Technology,10.25258/ijddt.16.42s.54,,"CXR classification for COVID-19, viral pneumonia, and healthy lungs faces challenges from overlapping
opacities and limited data, where deep learning offers transformative solutions through CNNs (ResNet,
DenseNet), Vision Transformers, and ensembles achieving 95-98% accuracy on datasets like COVID-19
Radiography Database. Transfer learning, augmentation, and attention mechanisms address imbalances and
artifacts, while Grad-CAM enhances interpretability; however, domain shifts, overfitting, and privacy concerns
persist. Future multimodal fusion with CT/clinical data, federated learning, and edge deployment promise
clinically viable AI-radiologist collaboration for global respiratory diagnostics.",https://www.semanticscholar.org/paper/0f9e3a41a00a81b9f1427e79f2c6bf0e15a73dc8
1162b06791dfe0d3d9855d81768979dc2009df4a,Semantic Alignment of Unimodal Medical Text and Vision Representations,Maxime Di Folco; Emily Chan; Marta Hasny; Cosmin I. Bercea; J. A. Schnabel,2025,2025-03-06,arXiv.org,10.48550/arXiv.2503.04478,2503.04478,"General-purpose AI models, particularly those designed for text and vision, demonstrate impressive versatility across a wide range of deep-learning tasks. However, they often underperform in specialised domains like medical imaging, where domain-specific solutions or alternative knowledge transfer approaches are typically required. Recent studies have noted that general-purpose models can exhibit similar latent spaces when processing semantically related data, although this alignment does not occur naturally. Building on this insight, it has been shown that applying a simple transformation - at most affine - estimated from a subset of semantically corresponding samples, known as anchors, enables model stitching across diverse training paradigms, architectures, and modalities. In this paper, we explore how semantic alignment - estimating transformations between anchors - can bridge general-purpose AI with specialised medical knowledge. Using multiple public chest X-ray datasets, we demonstrate that model stitching across model architectures allows general models to integrate domain-specific knowledge without additional training, leading to improved performance on medical tasks. Furthermore, we introduce a novel zero-shot classification approach for unimodal vision encoders that leverages semantic alignment across modalities. Our results show that our method not only outperforms general multimodal models but also approaches the performance levels of fully trained, medical-specific multimodal solutions",https://www.semanticscholar.org/paper/1162b06791dfe0d3d9855d81768979dc2009df4a
1192881da030c48509986a1294859ccad1a2bdec,Multimodal Medical Disease Classification with LLaMA II,Christian Gapp; Elias Tappeiner; Martin Welk; Rainer Schubert,2024,2024-12-02,arXiv.org,10.15203/99106-150-2-07,2412.01306,"Medical patient data is always multimodal. Images, text, age, gender, histopathological data are only few examples for different modalities in this context. Processing and integrating this multimodal data with deep learning based methods is of utmost interest due to its huge potential for medical procedure such as diagnosis and patient treatment planning. In this work we retrain a multimodal transformer-based model for disease classification. To this end we use the text-image pair dataset from OpenI consisting of 2D chest X-rays associated with clinical reports. Our focus is on fusion methods for merging text and vision information extracted from medical datasets. Different architecture structures with a LLaMA II backbone model are tested. Early fusion of modality specific features creates better results with the best model reaching 97.10% mean AUC than late fusion from a deeper level of the architecture (best model: 96.67% mean AUC). Both outperform former classification models tested on the same multimodal dataset. The newly introduced multimodal architecture can be applied to other multimodal datasets with little effort and can be easily adapted for further research, especially, but not limited to, the field of medical AI.",https://www.semanticscholar.org/paper/1192881da030c48509986a1294859ccad1a2bdec
