PaperId,Titulo,Autores,Ano,Data_Publicacao,Veiculo,DOI,ArXiv_ID,Resumo,URL
0fd3612827b507fc381329d6a5150d3dc1244874,AI-Assisted Pre-Reporting for Head CT Case Prioritization in High-Throughput Healthcare Scenarios,S. Galassi; Davide Durante; Francesca Filice; Simone Bartucci; Edoardo De Rose; Maria Pia Zupi; F. Angiulli; F. Calimeri; Fabio Fassetti,2026,2026-06-30,"Proceedings of the 17th ACM International Conference on Bioinformatics, Computational Biology and Health Informatics",10.1145/3807503.3816796,,"Head trauma is one of the most frequent causes of emergency department admissions and requires rapid neuroradiological assessment via head CT imaging. In high-throughput clinical environments, reporting workflows may be delayed and may not always reflect the actual neurological urgency of the patient, potentially postponing the identification of critical findings. We propose an AI-assisted pre-reporting framework for head CT case prioritization, designed as a proof-of-concept aligned with standard neuroradiological practice. Using a retrospective dataset of 150 head CT scans paired with clinical records, the framework preprocesses DICOM volumes, converts volumetric studies into 2D representations compatible with MedGemma, and generates slice-wise preliminary reports that are aggregated at patient level. Validation is conducted under expert neuroradiological supervision, assessing both adherence to a predefined radiological template and the clinical priority inferred from the AI-generated outputs. The goal is to support early identification of high-risk cases and optimize radiological workflows without replacing clinical expertise.",https://www.semanticscholar.org/paper/0fd3612827b507fc381329d6a5150d3dc1244874
18e2aa7c054a55e28e8859591e06e72595aab411,"Influence of structured output constraints on GPT-5-Thinking, Gemini 2.5 Pro, and open-weight LLMs for radiology protocol selection",M. Bahaaeldin; Sebastian Nowak; Oleksandra Seidel; A. Isaak; Dmitrij Kravchenko; Annemarie Proff; Tatjana Dell; D. Kuetting; J. Luetkens; N. Mesropyan,2026,2026-04-10,European Radiology Experimental,10.1186/s41747-026-00712-3,,"Objective To evaluate the impact of constraining proprietary and open large language models (LLMs) to structured outputs in processing radiology request forms (RRF). Materials and methods We evaluated five LLMs—two proprietary (GPT-5-Thinking, Gemini 2.5 Pro) and three open (Qwen3-235B-A22B-Thinking, gpt-oss-120b, medgemma-27b-it)—on 100 RRFs (50 computed tomography, 50 magnetic resonance imaging). Each model processed cases with and without constraints to structured outputs. Endpoints included accuracy for modality, anatomical region, contrast phase, urgency, “all correct” (all four categories correct), and “indication improved” (clarity of rewritten text). Outputs were evaluated against a reference standard defined by board-certified radiologists and compared with two radiology residents (first-year and third-year). Accuracies with 95% confidence intervals were calculated. Results Constraining to structured outputs had model-dependent effects: it improved Gemini 2.5 Pro (all correct: from 53.0% [43.3–62.5] to 66.0% [56.3–74.5]) but reduced GPT-5-Thinking accuracy (from 76.0% [66.8–83.3] to 53.0% [43.3–62.5]), with minimal influence on open models. Both proprietary LLMs outperformed the best open models (up to 41.0% [31.9–50.8]). All LLMs exceeded the unassisted first-year residents’ performance (19.0% [12.5–27.8]). LLM assistance improved first-year residents’ accuracy to 65.0% [55.3–73.6], approaching the third-year residents’ performance (80.0% [71.1–86.7]), who performed comparably to the best LLMs. Across models, performance was highest for modality and anatomical region, and lowest for urgency. Indication reformulation was judged clearer in > 90% of cases across all models without hallucinations. Conclusion Constraining to structured outputs exerted model-specific effects. Proprietary LLMs achieved the highest accuracy in RRF-based protocol selection and improved first-year resident performance to an experienced-resident level. Relevance statement LLMs may serve as valuable decision-support tools for radiology workflow. Constraining LLMs to structured outputs produced divergent, model-specific effects in radiology protocol selection—improving Gemini 2.5 Pro, reducing GPT-5-Thinking, and minimally affecting open models—highlighting the need for model-specific prompting strategies before adopting LLMs in radiology decision support. Key Points Structured output constraints affect LLM performance differently. Gemini 2.5 Pro benefits from structured prompting, while GPT-5-Thinking declines. Open-weight models show minimal impact from output constraining. Proprietary models outperform open models in radiology protocol selection. Graphical Abstract",https://www.semanticscholar.org/paper/18e2aa7c054a55e28e8859591e06e72595aab411
1b25dfe2ff66bf81703aa228f257588f1e2bdca5,ReXVQA: A Large-scale Visual Question Answering Benchmark for Generalist Chest X-ray Understanding,Ankit Pal; Jung-Oh Lee; Xiaoman Zhang; Malaikannan Sankarasubbu; Seunghyeon Roh; Wŏn-jung Kim; Meesun Lee; P. Rajpurkar,2025,2025-06-04,Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing,10.48550/arXiv.2506.04353,2506.04353,"We present ReXVQA, the largest and most comprehensive benchmark for visual question answering (VQA) in chest radiology, comprising 694,841 questions paired with 160,000 chest X-rays studies across training, validation, and test sets. Unlike prior efforts that rely heavily on template based queries, ReXVQA introduces a diverse and clinically authentic task suite reflecting five core radiological reasoning skills: presence assessment, location analysis, negation detection, differential diagnosis, and geometric reasoning. We evaluate eight state-of-the-art multimodal large language models, including MedGemma-4Bit, Qwen2.5-VL, Janus-Pro-7B, and Eagle2-9B. The best-performing model (MedGemma) achieves 83.24% overall accuracy. To bridge the gap between AI performance and clinical expertise, we conducted a comprehensive human reader study involving 3 senior radiology residents on 200 randomly sampled cases. Our evaluation demonstrates that MedGemma achieved superior performance (83.84% accuracy) compared to human readers (best radiology resident: 77.27%), representing a significant milestone where AI performance exceeds human evaluation on chest X-ray interpretation. The reader study reveals distinct performance patterns between AI models and radiology residents, with strong inter-reader agreement among the human readers while showing more variable agreement patterns between human readers and AI models. ReXVQA establishes a new standard for evaluating generalist radiological AI systems, offering public leaderboards, fine-grained evaluation splits, structured explanations, and category-level breakdowns. This benchmark lays the foundation for next-generation AI systems capable of mimicking expert-level clinical reasoning beyond narrow pathology classification.Dataset: https://hf.co/datasets/rajpurkarlab/ReXVQA; Supplementary Material: https://github.com/monk1337/PSB-Conference-2025/blob/main/Appendix.pdf.",https://www.semanticscholar.org/paper/1b25dfe2ff66bf81703aa228f257588f1e2bdca5
1e28d051761f0db26c5166a35cff282848bc7d87,OncoTriad-QA: A Patient-Level Radiology-Pathology-Genomics Benchmark for Pan-Cancer Reasoning,Ahnaf Munir; Dannong Wang; Michael W. McDonald; Mubarak Shah; Pegah Khosravi; Yu Tian,2026,2026-05-21,,,2608.02615,"Cancer diagnosis and characterization require integrating complementary evidence from radiology, pathology, genomics, and clinical metadata. However, most medical large language model (LLM) and vision-language model (VLM) benchmarks focus on isolated modalities or narrow image-text tasks, leaving patient-level oncology assessment across multiple evidence streams largely untested. We introduce OncoTriad-QA, a patient-level radiology-pathology-genomics benchmark for pan-cancer question answering. OncoTriad-QA contains 86.1k semantic questions across 9,281 TCGA patient cases from 32 cancer cohorts, aligning CT/MRI radiology, whole-slide histopathology, somatic mutations, copy-number alterations, DNA methylation, bulk RNA-seq, and clinical metadata. Case-specific annotations are constructed through a source-grounded LLM-assisted pipeline using curated labels, diagnostic reports, molecular profiles, and modality-derived evidence as primary sources of truth, with automated consistency checks and clinician review. We also introduce OncoVLM, a reference multimodal model that maps modality-native radiology, pathology, DNA methylation, and RNA-seq evidence into an LLM interface through learned projectors. Experiments show that existing general-purpose and medical LLMs remain limited on comprehensive pan-cancer QA, especially when questions require integrating imaging findings, tumor morphology, and molecular evidence. After fine-tuning on OncoTriad-QA, OncoVLM exceeds MedGemma-4B by an average of 10.7 points when using MCQ accuracy and BERTScore-F1, with consistent gains across multiple-choice and open-ended questions under radiology-only, pathology-only, and all-available settings. These results demonstrate the benchmark's value for training and evaluating models for integrated cancer question answering.",https://www.semanticscholar.org/paper/1e28d051761f0db26c5166a35cff282848bc7d87
204e546926a2b0ff119aa1f8a28859049c9a404b,Abstract 2742: An artificial intelligence domain-specialized scalable and clinically relevant pipeline to automate standardized O-RADS stratification for imaging reports in ovarian cancer.,Asmi Agarwal; Min Ren; Jingjing Gong; Richard Selinfreund; Ruchika Goel; Yanhui Guo,2026,2026-04-03,Cancer Research,10.1158/1538-7445.am2026-2742,,"
 
 
 Despite therapeutic advances, ovarian malignancies continue to carry a disproportionate mortality burden among women worldwide. Timely and accurate assessment of adnexal lesions is critical for improving outcomes, yet the disease is often diagnosed at an advanced stage due to subtle or misinterpreted early findings. The Ovarian-Adnexal Reporting and Data System (O-RADS) provides a standardized framework for malignancy risk stratification; however, in practice, its manual application can be time-consuming and prone to inter-observer variability, creating barriers to consistency and incorporation within clinical workflows. To address this urgent clinical need, we developed an artificial intelligence (AI) pipeline that automates O-RADS classification directly from free-text pelvic ultrasound reports.
 
 
 
 By integrating Lingshu, a multimodal Domain-Specialized large language model (LLM) for medical reports reasoning, with traditional machine learning classifiers, our system transforms unstructured radiology narratives into structured, high-fidelity malignancy risk assessments, eliminating the need for manual scoring. We also compared the performance of this framework with that of an equivalent pipeline using MedGemma.
 
 
 
 We analyzed 413 de-identified pelvic ultrasound reports and extracted semantic embeddings using Lingshu. These embeddings, representing clinically meaningful linguistic patterns, were used to then train machine learning classifiers via a 5-fold cross-validation. Lingshu and a logistic regression model performed the best, achieving a mean accuracy of 0.773 ± 0.031, weighted precision of 0.777 ± 0.029, recall of 0.767 ± 0.028, F1-score of 0.765 ± 0.032, and a macro-averaged AUROC of 0.929 ± 0.019. Notably, this achieved a lower AUROC of 0.923 ± 0.027.
 
 
 
 A foundation model such as Lingshu demonstrates remarkable semantic understanding. We show that this model can be safely and effectively leveraged to standardize O-RADS risk assessment directly from unstructured ultrasound reports, bridging the gap between AI capability and real-world radiology practice. Our approach establishes a scalable and clinically impactful pathway for integrating AI into gynecologic oncology workflows, paving the way for broader adoption of LLM-driven tools in early ovarian cancer detection and risk stratification. Importantly, this AI-driven framework is not intended to replace expert radiologic judgment but to augment it by enabling the consistent application of O-RADS criteria, supporting diagnostic confidence, and reducing variability across providers and institutions. In doing so, it has the potential to expedite early identification of high-risk adnexal lesions and ultimately improve clinical decision-making and patient outcomes.
 
 
 
 Asmi Agarwal, Min Ren, Jingjing Gong, Richard Selinfreund, Ruchika Goel, Yanhui Guo. An artificial intelligence domain-specialized scalable and clinically relevant pipeline to automate standardized O-RADS stratification for imaging reports in ovarian cancer [abstract]. In: Proceedings of the American Association for Cancer Research Annual Meeting 2026; Part 1 (Regular Abstracts); 2026 Apr 17-22; San Diego, CA. Philadelphia (PA): AACR; Cancer Res 2026;86(7 Suppl):Abstract nr 2742.
",https://www.semanticscholar.org/paper/204e546926a2b0ff119aa1f8a28859049c9a404b
33493b59010c6e02e6a8451079db84797400cf2a,MedGemma Evaluation for Fundamental Radiological Imaging Classification Tasks,Théo Sartoretti; A. Jayet; Thomas Saliba; Jonas Richiardi; C. Pozzessere; D. Rotzinger; G. Fahrni,2026,2026-08-04,F1000Research,10.12688/f1000research.187443.1,,"
 Background This study evaluates the performance of MedGemma-4B, a specialized medical vision-language model (VLM), on six fundamental radiological image classification tasks. We hypothesize that, despite their diagnostic capabilities, such models may underperform on clinically essential perceptual tasks that may be underrepresented in training data. Methods MedGemma-4B was assessed using 600 multicenter radiological images, divided equally into six classification tasks: modality, body part, orientation, contrast, image mode, and organ. Using standardized visual question answering (VQA) prompts, model outputs were categorized by two expert radiologists as correct, incorrect, or imprecise. Performance was evaluated using accuracy, sensitivity, specificity, positive predictive value (PPV), negative predictive value (NPV), and Matthews correlation coefficient (MCC), with 95% confidence intervals and χ
 2
 tests. Results Performance varied substantially across tasks. The model demonstrated robust accuracy in modality (97%) and body part identification (80%), but critically underperformed in orientation (41%), contrast phase recognition (32%), and image mode classification (48%). Organ identification achieved moderate accuracy (74%). MCC values showed strong correlation for modality (96.2%) and body part (78.7%), but poor correlation for orientation (33.1%). Statistical analysis confirmed significant performance disparities (
 p
  < 0.001), with modality and body part tasks outperforming all other tasks (
 p
  < 0.001). Conclusions MedGemma-4B excels at broad categorizations but struggles with more granular yet fundamental radiological image features.
",https://www.semanticscholar.org/paper/33493b59010c6e02e6a8451079db84797400cf2a
37a3b7582697b10dd18a36167fe996081049592d,"Artificial intelligence in paediatric chest imaging: applications, challenges, and future directions.",John Joseph Muringathuparambil; Shamiek Maharaj; B. Segal; N. Mahomed,2026,2026-06-03,Pediatric Radiology,10.1007/s00247-026-06671-6,,"BACKGROUND
Paediatric chest imaging is central to diagnosing respiratory and cardiopulmonary disease, particularly in low- and middle-income countries (LMICs) where pneumonia remains a leading cause of childhood mortality and radiology expertise is scarce. Artificial intelligence (AI) could expand access, standardise quality and support task-shifting in these ""diagnostic deserts,"" yet most systems are trained and validated on adult datasets from high-income settings, and paediatric radiographs form only a small minority of major public training cohorts - raising concerns about safety, generalisability and equity when such models are deployed in children.


OBJECTIVE
To synthesise current applications of AI across paediatric chest radiography, lung ultrasound, computed tomography and MRI, with emphasis on LMIC workflows, and to define what is required for safe, paediatric-specific deployment.


MATERIALS AND METHODS
Narrative/pictorial review of the published literature, complemented by the authors' real-world evaluation of a generalist vision-language model (MedGemma) on adult and paediatric chest radiographs, illustrated with representative clinical cases.


RESULTS
Beyond diagnosis, AI shows potential in quality assurance, lung-ultrasound guidance and multilingual reporting. Real-world experience from CAD4Kids and from MedGemma's evaluation - including critical failures in detecting pericardial effusion and tuberculosis without explicit clinical context - illustrates common failure modes and the ethical implications of domain shift. Key challenges include infrastructure constraints, dataset scarcity and the need for age-aware, explainable models.


CONCLUSION
Rather than adapting adult systems, future tools must be designed from inception for children and the environments in which they live, prioritising federated learning, multimodal integration, robust validation across age strata and multilingual communication with caregivers.",https://www.semanticscholar.org/paper/37a3b7582697b10dd18a36167fe996081049592d
38f7fd157976f4cb8a28db6fb0ad59b7b9722ac3,Beyond Scalar Scores: Exploring LLM-based Metrics for Clinical Significance Evaluation in Radiology Reports,Qingyu Lu; Ruochen Li; Liang Ding; Yufei Xia; Youxiang Zhu; Dacheng Tao,2026,2026-06-17,,,2606.18797,"Reliable evaluation of generated radiology reports requires strict clinical accuracy, as omitted critical findings or mischaracterized radiographic observations can directly affect patient care. Existing metrics obscure this requirement by reducing report quality to a medically ungrounded scalar. Although Large Language Models (LLMs) possess rich medical knowledge, they likewise struggle to draw a reliable boundary between clinically significant errors and harmless variation. We study this boundary using ReEvalMed benchmark as testbed and evaluate metric-level clinical significance from detecting true clinical errors (""Discrimination"") and tolerating insignificant variations (""Robustness""). Across 8 LLM evaluators under one-pass and two-pass settings, we identify a widespread discrimination bias: models effectively detect errors but also over-penalize harmless rephrasings. To mitigate this, we synthesize 4k report pairs and train lightweight interpretable metrics on Qwen3-8B and MedGemma-4B. Our trained metric sharpens the clinical significance boundary, surpassing 32B-scale medical LLMs and remaining competitive with proprietary models. Crucially, the more costly two-pass setting fails to consistently improve overall performance and mainly trades discrimination for robustness. These findings suggest one-pass trained metrics as the practical choice for cost-sensitive deployment, with two-pass inference reserved for settings where D-R balance is critical. We will release the dataset and metric.",https://www.semanticscholar.org/paper/38f7fd157976f4cb8a28db6fb0ad59b7b9722ac3
42f8bc79af248a40188652d20d1079e1d0039a62,AMRG: Extend Vision Language Models for Automatic Mammography Report Generation,Nak-Jun Sung; Donghyun Lee; B. Choi; chaeHun Park,2025,2025-08-12,arXiv.org,10.48550/arXiv.2508.09225,2508.09225,"Mammography report generation is a critical yet underexplored task in medical AI, characterized by challenges such as multiview image reasoning, high-resolution visual cues, and unstructured radiologic language. In this work, we introduce AMRG (Automatic Mammography Report Generation), the first end-to-end framework for generating narrative mammography reports using large vision-language models (VLMs). Building upon MedGemma-4B-it-a domain-specialized, instruction-tuned VLM-we employ a parameter-efficient fine-tuning (PEFT) strategy via Low-Rank Adaptation (LoRA), enabling lightweight adaptation with minimal computational overhead. We train and evaluate AMRG on DMID, a publicly available dataset of paired high-resolution mammograms and diagnostic reports. This work establishes the first reproducible benchmark for mammography report generation, addressing a longstanding gap in multimodal clinical AI. We systematically explore LoRA hyperparameter configurations and conduct comparative experiments across multiple VLM backbones, including both domain-specific and general-purpose models under a unified tuning protocol. Our framework demonstrates strong performance across both language generation and clinical metrics, achieving a ROUGE-L score of 0.5691, METEOR of 0.6152, CIDEr of 0.5818, and BI-RADS accuracy of 0.5582. Qualitative analysis further highlights improved diagnostic consistency and reduced hallucinations. AMRG offers a scalable and adaptable foundation for radiology report generation and paves the way for future research in multimodal medical AI.",https://www.semanticscholar.org/paper/42f8bc79af248a40188652d20d1079e1d0039a62
45e091f30d5e78b9983fc9d403baf05f4c766cb2,"PO:09:139 | Comparative evaluation of GPT-4.0, Claude 4, and MedGEMMA in automatic Kellgren-Lawrence grading of knee osteoarthritis",Società Italiana Di Reumatologia,2025,2025-11-26,Reumatismo,10.4081/reumatismo.2025.2025,,"Background. Automated grading of knee osteoarthritis (OA) severity using the Kellgren-Lawrence (KL) scale is a critical task in musculoskeletal radiology. Recently developed multimodal large language models (LLMs) offer the potential to interpret clinical images alongside text, but their performance on fine-grained ordinal classification tasks remains poorly characterized.
Methods. We evaluated three multimodal LLMs—Open AI GPT-4o (vision-enabled), Anthropic Claude 4, and the open source Google MedGEMMA—on their ability to predict KL grades from knee radiographs in a publicly available, expert-annotated dataset¹. Model predictions were compared to ground truth labels using exact match accuracy, ±1 tolerance accuracy (i.e., prediction within one KL grade)(Figure 1), and macro-averaged precision and recall. Confusion matrices were also analyzed to examine misclassification trends.
Results. The dataset included 100 radiographic images, equally distributed across KL grades: • Grade 0: 20 images • Grade 1: 20 images • Grade 2: 20 images • Grade 3: 20 images • Grade 4: 20 images GPT-4o demonstrated the best overall performance with 26% exact match accuracy, 63% ±1 tolerance accuracy, macro precision 0.38, and macro recall 0.26. Claude 4 and MedGEMMA each reached 21% exact match, 58% ±1 tolerance, with macro precision/recall of 0.23/0.21 and 0.20/0.21, respectively (Figure 2). All models exhibited frequent misclassification between adjacent KL grades, particularly underestimating moderate to severe OA (grades 3–4).
Conclusion. Although GPT-4o outperformed the other models, its accuracy remains insufficient for clinical reliability. These findings reveal that current multimodal LLMs, while promising, still struggle with ordinal radiographic interpretation tasks. Targeted training on medical imaging datasets and improved domain adaptation are necessary to enhance their diagnostic utility. ¹",https://www.semanticscholar.org/paper/45e091f30d5e78b9983fc9d403baf05f4c766cb2
