DOI,Titulo,Autores,Ano,Publicacao,Tipo,URL,Resumo
10.1145/3728483.3760199,Sarashina2-Vision: Toward Vision – Language Models for Understanding Japanese Figures and Conceptual/Explanatory Diagrams,Seitaro Shinagawa,2025,Proceedings of the 2nd International Workshop on Large Vision - Language Model Learning and Applications,proceedings-article,https://doi.org/10.1145/3728483.3760199,
10.1145/3728483,Proceedings of the 2nd International Workshop on Large Vision - Language Model Learning and Applications,,2025,,proceedings,https://doi.org/10.1145/3728483,
10.1145/3701716.3717565,CubeRobot: Grounding Language in Rubik's Cube Manipulation via Vision-Language Model,Feiyang Wang; Xiaomin Yu; Wangyu Wu,2025,Companion Proceedings of the ACM on Web Conference 2025,proceedings-article,https://doi.org/10.1145/3701716.3717565,
10.1145/3719160.3736633,DesignMinds: Enhancing Video-Based Design Ideation with a Vision-Language Model and a Context-Injected Large Language Model,Tianhao He; Andrija Stanković; Evangelos Niforatos; Gerd Kortuem,2025,Proceedings of the 7th ACM Conference on Conversational User Interfaces,proceedings-article,https://doi.org/10.1145/3719160.3736633,
10.1145/3689096.3689463,Visual Language Model for Preclinical Toxicologic Liver Histopathology Assessment,Zehua Cheng; Wei Dai; Jiahao Sun,2024,Proceedings of the First International Workshop on Vision-Language Models for Biomedical Applications,proceedings-article,https://doi.org/10.1145/3689096.3689463,
10.1145/3728483.3760196,Harvesting Temporal Correlation in Large Vision-Language Models: Using Pose Estimation as a Case Study,Tun-Yuan Chang; Kenneth Chandra; Cheng-Hsin Hsu,2025,Proceedings of the 2nd International Workshop on Large Vision - Language Model Learning and Applications,proceedings-article,https://doi.org/10.1145/3728483.3760196,
10.1145/3732353.3732356,Visual Storage Battery Inspection via Large Vision-language Model,Cheng Wang; Can Zhang; Bin Hu; Bao Tang; Shikang Wang; Xinggang Wang,2025,Proceedings of the 2025 7th International Conference on Control and Computer Vision,proceedings-article,https://doi.org/10.1145/3732353.3732356,
10.1145/3664647.3689175,Tutorial: Large Language-Vision Model in Society,Kaicheng Yu; Zhuang Shao; Siyuan Qi; Dongfang Liu,2024,Proceedings of the 32nd ACM International Conference on Multimedia,proceedings-article,https://doi.org/10.1145/3664647.3689175,
10.1145/3701716.3717738,Explainable Vision-Language Model for Personalized Medicine,Md Sarwar Kamal; Sonia Farhana Nimmy; Wafa Alharbi,2025,Companion Proceedings of the ACM on Web Conference 2025,proceedings-article,https://doi.org/10.1145/3701716.3717738,
10.1145/3805621.3807628,Reducing Language Model Inference Latency using CPU-Assisted Serving,Theodoros Aslanidis; Sokol Kosta; Raffaele Montella; Spyros Lalis; Dimitris Chatzopoulos,2026,Proceedings of the Sixth European Workshop on Machine Learning and Systems,proceedings-article,https://doi.org/10.1145/3805621.3807628,
